RWF_Flashcards;;Thème
Quelle était l'exigence de Fassbinder envers Peter Märthesheimer pour accepter de réaliser « Huit heures ne font pas un jour » ?;Le financement du film « Le Voyage à Niklashausen ».;Oeuvres
Quel chef opérateur a tourné douze films avec Fassbinder avant de partir pour Hollywood ?;Michael Ballhaus.;Entourage
Dans le système de production de Fassbinder, quel rôle jouait Harry Baer ?;Collaborateur artistique, planificateur de production et acteur.;Entourage
Pourquoi Fassbinder privilégiait-il les conditions de tournage en studio plutôt qu'en extérieur ?;Parce qu'elles étaient artificielles et plus faciles à contrôler techniquement.;Oeuvres
Quelle technique de montage Fassbinder privilégiait-il pour maintenir un rythme de production élevé ?;Le montage « dans la caméra » ou pré-conçu dès le tournage.;Biographie
Quel film de Fassbinder a été vendu par anticipation à 85% de ses droits pour éponger des dépassements de budget ?;Le Mariage de Maria Braun.;Oeuvres
La dimension « chorégraphique » du travail de Fassbinder s'appuie sur la répétition de postures inspirées du _____.;cinéma classique hollywoodien;Biographie
Qui est la présidente actuelle de la Rainer Werner Fassbinder Foundation et ancienne monteuse du cinéaste ?;Juliane Maria Lorenz.;Entourage
Quel était le coût estimé de la production de « Berlin Alexanderplatz », alors la plus chère de la télévision allemande ?;Environ 13 millions de deutsche marks (selon le contexte de prestige évoqué).;Oeuvres
Comment Fassbinder qualifiait-il son projet esthétique visant à allier beauté formelle et critique sociale ?;Un cinéma allemand hollywoodien.;Biographie
Quelle actrice iconique a été dirigée par Fassbinder dans 23 de ses productions ?;Hanna Schygulla.;Entourage
Fassbinder considérait le tournage d'un film non pas comme une expression, mais comme une _____, se dessaisissant de sa propre vie.;respiration (inspiration et expiration);Biographie
Dans la production de « Huit heures ne font pas un jour », quel élément physique de l'acteur Gottfried John a provoqué une tension avec Fassbinder ?;Ses cheveux longs (jugés peu réalistes pour un ouvrier par certains membres du groupe).;Biographie
Quelle est la particularité du montage de « Berlin Alexanderplatz » présenté en 1983 ?;C'est une version cinéma de 112 minutes montée pour des raisons de droits.;Oeuvres
Quel film a permis à Fassbinder d'obtenir une reconnaissance internationale majeure et de changer de « catégorie » budgétaire ?;Despair.;Oeuvres
Le concept de _____ chez Fassbinder désigne l'usage de genres classiques pour y insérer des thématiques de rupture sociale.;l'occupation d'un genre bourgeois;Analyse
Quel domaine artistique Fassbinder a-t-il abandonné parce qu'il ne permettait pas d'atteindre le même public que le cinéma ?;Le théâtre (Antiteater).;Biographie
Quelle était la fonction de Renate Leiffer dans l'équipe de production stable de Fassbinder ?;Secrétaire de plateau et assistante réalisatrice.;Entourage
Fassbinder a souvent utilisé le _____ comme métaphore de l'échange inégal et de la circulation des corps dans le capitalisme.;marché noir;Analyse
Quel compositeur a créé une « texture sonore » indissociable de l'identité visuelle des films de Fassbinder ?;Peer Raben.;Entourage
Quelle contrainte technique du format 16 mm a été utilisée pour renforcer l'aspect étouffant de « Berlin Alexanderplatz » ?;Le ratio d'aspect 1.37:1.;Oeuvres
Dans quel but Fassbinder maintenait-il un climat de « chantage affectif » ou de tension permanente sur ses plateaux ?;Pour obtenir une concentration extrême et une rapidité d'exécution de ses collaborateurs.;Biographie
Quel est le premier long-métrage réalisé par Fassbinder en 1969 ?;L'amour est plus froid que la mort (Liebe ist kälter als der Tod).;Oeuvres
L'esthétique des premiers films de Fassbinder doit plus aux _____ qu'aux réflexions théoriques de Brecht selon Thomas Elsaesser.;films pornos à petit budget des années 1960;Analyse
Quel réalisateur de la Nouvelle Vague française a été une influence majeure pour le premier film de Fassbinder ?;Jean-Luc Godard (ou Jean-Marie Straub pour la rigueur).;Biographie
Pour Fassbinder, la différence fondamentale entre le théâtre et le cinéma réside dans la prise en compte du _____.;spectateur;Analyse
Quel chef décorateur a contribué à l'identité visuelle de la période Antiteater avant d'être remplacé par des professionnels ?;Kurt Raab.;Entourage
Quel film de 1974 est un remake revendiqué de « Tout ce que le ciel permet » de Douglas Sirk ?;Tous les autres s'appellent Ali (Angst essen Seele auf).;Oeuvres
L'influence de Douglas Sirk a permis à Fassbinder de passer du film de gangsters au _____.;mélodrame;Analyse
Quel était le rôle de Michael Fengler dans la carrière de Fassbinder ?;Coproducteur de longue date et collaborateur sur douze films.;Entourage
Fassbinder a produit son œuvre comme une « maison » où chaque film représente une partie (cave, murs, fenêtres). Comment nomme-t-on cette approche ?;L'œuvre comme totalité cohérente (ou intertextualité).;Analyse
Dans le cadre de la production de « Huit heures ne font pas un jour », quelle était la réaction des critiques allemands face à l'optimisme de la série ?;Majoritairement négative, la jugeant irréaliste.;Oeuvres
Quel film collectif de 1978 montre Fassbinder dans son propre appartement, réagissant aux événements de l'Automne allemand ?;L'Allemagne en automne (Deutschland im Herbst).;Oeuvres
Quel type d'acting Fassbinder exigeait-il pour créer une distanciation, inspiré par les théories de Brecht ?;Un jeu distancié, artificiel et dénué de psychologie naturaliste.;Analyse
Terme : Trümmerfilme;Définition : Films de décombres réalisés entre 1946 et 1949, centrés sur la détresse de l'Allemagne en ruines.;Contexte
Quel film de Fassbinder traite de la terreur générée par la Fraction armée rouge (RAF) ?;La Troisième Génération (Die Dritte Generation).;Oeuvres
Le passage de Fassbinder à des budgets internationaux a été marqué par sa collaboration avec le producteur _____, figure de « Papas Kino ».;Luggi Waldleitner;Entourage
Quelle était la principale critique adressée à Fassbinder par ses anciens collaborateurs après sa mort ?;L'exercice d'un pouvoir tyrannique et d'une exploitation émotionnelle insatiable.;Biographie
Quel court-métrage de 1966 est un hommage au film d'Éric Rohmer, « Le Signe du lion » ?;Le Clochard (Der Stadtstreicher).;Oeuvres
Fassbinder affirmait : « Je ne lance pas de bombes, je fais des _____ ».;films;Citations
Quel projet de série télévisée adapté de Zwerenz a été annulé par la WDR pour suspicion d'antisémitisme ?;La Terre est aussi inhabitable que la lune.;Biographie
Comment Fassbinder finançait-il ses projets personnels au début de sa carrière cinématographique ?;En travaillant pour le théâtre public et la radio (Hörspiel).;Biographie
Quel film marque le début de la « Trilogie RFA » de Fassbinder ?;Le Mariage de Maria Braun.;Oeuvres
Quel aspect du travail de Fassbinder était décrit par Volker Spengler comme la nécessité de créer un « partenaire de dialogue » en soi-même ?;La capacité de prendre parti contre soi-même (agressivité créatrice).;Biograpihe
Fassbinder voyait le mois de mai 1945 comme une _____, moment où toutes les valeurs allemandes auraient pu être redéfinies.;tabula rasa (ou moment originel);Citation
Quel film de 1982 est le dernier réalisé par Fassbinder avant sa mort ?;Querelle.;Oeuvres
Dans « Berlin Alexanderplatz », qui est le producteur exécutif représentant la Bavaria Atelier ?;Günther Rohrbach.;Entourage
Quelle est la source littéraire principale de « Berlin Alexanderplatz » ?;Le roman d'Alfred Döblin.;Oeuvres
Quel élément scénographique récurrent chez Fassbinder symbolise l'emprisonnement des personnages dans des « cercles vicieux » ?;Les cadres dans le cadre (portes, fenêtres, miroirs).;Analyse
L'un des moyens les plus efficaces pour Fassbinder d'invalider la relation de cause à effet historique était d'éviter toute apparence d'_____.;effectivité historique (au profit d'un espace cinématographique pur);Analyse
Dans le film « Le Mariage de Maria Braun », quelle ville a servi de lieu de tournage pour une partie de l'œuvre ?;Coburg.;Oeuvres
Quel type de relation Fassbinder instaurait-il entre le cinéaste, la caméra et le spectateur pour créer un nouvel espace politique ?;Une relation inédite et directe, brisant l'identification hollywoodienne classique.;Analyse
Quel acteur est considéré comme le deuxième des trois grands amours de Fassbinder et le partenaire intime durant le tournage de Tous les autres s’appellent Ali ?;El Hedi ben Salem.;Entourage
Quel collaborateur a assuré la direction de la photographie pour formaliser le grand style visuel tardif de Fassbinder ?;Michael Ballhaus.;Entourage
Qui était la mère de Rainer Werner Fassbinder, souvent présente dans ses films pour des petits rôles de personnages antipathiques ?;Lilo Pempeit (ou Liselotte Eder).;Entourage
Quel membre du cercle masculin et compagnon de travail est décrit comme le « témoin de l'intérieur » du collectif ?;Harry Baer.;Entourage
Quelle actrice incarne souvent les grandes figures du conflit conjugal et psychique, notamment dans Les Larmes amères de Petra von Kant ?;Margit Carstensen.;Entourage
Qui fut la première épouse de Fassbinder, liant les univers du théâtre, du cinéma et de la chanson ?;Ingrid Caven.;Entourage
Quel acteur, compagnon de Fassbinder, s'est suicidé après leur rupture, marquant la dimension tragique de l'œuvre du cinéaste ?;Armin Meier.;Entourage
Qui est la monteuse et compagne de Fassbinder durant sa dernière période, aujourd'hui présidente de sa fondation ?;Juliane Lorenz.;Entourage
Quel acteur de prestige a été mobilisé par Fassbinder pour représenter les masculinités bourgeoises ou autoritaires dans Martha ?;Karlheinz Böhm.;Entourage
Quelle actrice apporte un ancrage populaire et une dimension de critique sociale dans Tous les autres s'appellent Ali ?;Brigitte Mira.;Entourage
Quel collaborateur historique a co-réalisé Pourquoi monsieur R. est-il atteint de folie meurtrière ? avant d'être évincé après Maria Braun ?;Michael Fengler.;Entourage
Quel producteur majeur du cinéma ouest-allemand a collaboré avec Fassbinder sur le projet Lili Marleen ?;Luggi Waldleitner.;Entourage
Quelle actrice autrichienne de formation classique incarne une féminité mûre et stylisée dans La Femme du chef de gare ?;Elisabeth Trissenaar.;Entourage
Qui est l'actrice de la période tardive incarnant le rôle principal dans Lola, une femme allemande ?;Barbara Sukowa.;Entourage
Quel acteur incarne souvent un corps masculin ambigu lié à la violence sociale, notamment dans Le Droit du plus fort ?;Peter Chatel.;Entourage
Quel membre du noyau théâtral, présent dans Le Bouc, est surnommé « Doc » dans l'univers de Fassbinder ?;Hark Bohm.;Contexte
L’année de naissance de Rainer Werner Fassbinder, coïncidant avec la fin de la guerre, est _____.;1945;Contexte
Comment se nomme le premier genre cinématographique allemand de l'après-guerre, tourné dans les villes détruites ?;Le Trümmerfilm (film des ruines).;Contexte
Quelle institution cinématographique d'État a été créée en zone soviétique en mai 1946 ?;La DEFA (Deutsche Film-Aktiengesellschaft).;Contexte
Quel film de Wolfgang Staudte est considéré comme le premier film allemand de l'après-guerre ?;Les Meurtriers sont parmi nous (1946).;Contexte
Le terme désignant la société de l'effondrement en Allemagne en 1945 est l'_____.;Heure Zéro (Stunde Null);Contexte
Quelle réforme monétaire de juin 1948 a marqué la séparation économique de l'Allemagne ?;L'introduction du Deutsche Mark (remplaçant le Reichsmark).;Contexte
Quel texte législatif de 1949 a permis aux anciens membres du NSDAP de réintégrer la fonction publique ?;L'article 131 de la Loi fondamentale.;Contexte
En quelle année ont été créées la RFA et la RDA ?;1949;Contexte
Quel regard satirique Billy Wilder porte-t-il sur le Berlin occupé dans son film de 1946 ?;A Foreign Affair (La Scandaleuse de Berlin).;Contexte
Quel film néoréaliste de Roberto Rossellini rend compte de la ruine morale de l'Allemagne en 1948 ?;Allemagne année zéro.;Contexte
Quels intellectuels exilés reviennent en Allemagne après la guerre pour reconstruire la vie culturelle ?;Adorno, Horkheimer (École de Francfort) et Bertolt Brecht.;Contexte
À quel événement historique de 1948 le blocus de Berlin a-t-il conduit ?;Le pont aérien allié.;Contexte
Combien de zones d'occupation l'Allemagne a-t-elle comptées après les conférences de Yalta et Potsdam ?;Quatre (États-Unis, URSS, Grande-Bretagne, France).;Contexte
Quel film de Fassbinder propose une radiographie critique du « point zéro » de la nouvelle Allemagne ?;Le Mariage de Maria Braun.;Oeuvres
Qui était le père de Fassbinder, dont le cinéaste refusait tout contact à l'âge adulte ?;Helmut Fassbinder.;Biographie
Quelle actrice du noyau théâtral joue dans L'Amour est plus froid que la mort et Effi Briest sans avoir d'informations biographiques intimes majeures ?;Ursula Strätz.;Entourage
Quelle actrice présente une présence latérale mais significative dans Le Bouc et Les Dieux de la peste ?;Lilith Ungerer.;Entourage
Qui est l'ami de jeunesse de Fassbinder, surnommé « Dodo » ?;Udo Kier.;Entourage
Quel compagnon de Fassbinder a inspiré le personnage de Christoph dans L'Année des treize lunes ?;Christoph Roser.;Entourage
Quel film de 1966 marque les débuts de la collaboration entre Michael Fengler et Fassbinder ?;Le Clochard.;Oeuvres
Quelle fonction occupait initialement Irm Hermann avant de devenir actrice et compagne de Fassbinder ?;Secrétaire.;Entourage
Dans quel film de 1982 Günther Kaufmann interprète-t-il le personnage de Nono ?;Querelle.;Oeuvres
Quelle actrice incarne le « corps de l'aliénation et du domestique » chez Fassbinder ?;Irm Hermann.;Entourage
Quel acteur incarne Reinhold dans l'adaptation télévisuelle de Berlin Alexanderplatz ?;Gottfried John.;Entourage
Quelle actrice est décrite comme le « double trivial et non sophistiqué » de Hanna Schygulla ?;Barbara Sukowa.;Entourage
Comment Kurt Raab a-t-il mis en scène sa propre fin en 1988 ?;En faisant de sa mort du sida un spectacle télévisuel.;Entourage
Quel compositeur est surnommé « Willi » au sein du noyau théâtral ?;Peer Raben.;Entourage
Quel film de 1971 a été tourné par Michael Ballhaus, marquant le début de sa collaboration majeure ?;Whity (ou Prenez garde à la sainte putain).;Oeuvres
Quelle actrice incarne la figure de la « fragilité et de l'innocence instinctive » dans Berlin Alexanderplatz ?;Barbara Sukowa.;Entourage
Quel film de 1974 explore le conflit conjugal avec Margit Carstensen et Karlheinz Böhm ?;Martha.;Oeuvres
Quelle actrice est surnommée « Emma Patate » par Fassbinder ?;Kurt Raab (le surnom était utilisé au sein du collectif).;Entourage
Qui a assuré le montage du film Le Clochard en 1966 ?;Michael Fengler.;Oeuvres
Quel film de 1981 met en scène Hanna Schygulla dans un contexte de mélodrame historique ?;Lili Marleen.;Oeuvres
Quel court-métrage de 1967 a été photographié par Michael Fengler ?;Le Petit Chaos.;Oeuvres
Quelle actrice incarne une féminité « terrienne dotée d'une autorité naturelle » ?;Elisabeth Trissenaar.;Entourage
Quel acteur joue le rôle principal dans Le Droit du plus fort ?;Rainer Werner Fassbinder lui-même (aux côtés de Peter Chatel).;Oeuvres
Dans quel film de 1978 Armin Meier apparaît-il dans un contexte de dimension autobiographique douloureuse ?;L'Allemagne en automne.;Oeuvres
Quel membre de l'entourage est surnommé « La tante » ?;Daniel Schmid.;
"<img src=""Entourage_images/Baer.jpg"" alt=""Portrait à identifier"" style=""max-width:100%;max-height:320px;object-fit:contain;"">";<strong>Harry Baer</strong><br><br><strong>Fonction dominante :</strong> Acteur, assistant, production<br><br><strong>Type de collaboration :</strong> Jeu, soutien de production, conseil artistique<br><br><strong>Lien avec Fassbinder :</strong> Proche compagnon de travail et membre du cercle masculin du collectif<br><br><strong>Œuvres de Fassbinder :</strong><br>Le Bouc<br>Les Dieux de la peste<br>Pourquoi M. R. est-il atteint de folie meurtrière ?<br>Pionniers à Ingolstadt<br>Whity<br>Le Marchand des quatre saisons<br>Despair<br>La Troisième génération<br>Le Secret de Veronika Voss<br>Lili Marleen<br>Lola, une femme allemande<br><br><strong>Rôle dans l'univers Fassbinder :</strong> Témoin de l’intérieur du collectif, relais organisationnel;Entourage
"<img src=""Entourage_images/Ballhaus.jpg"" alt=""Portrait à identifier"" style=""max-width:100%;max-height:320px;object-fit:contain;"">";<strong>Michael Ballhaus</strong><br><br><strong>Fonction dominante :</strong> Directeur de la photographie<br><br><strong>Type de collaboration :</strong> Image, mouvement de caméra, style visuel<br><br><strong>Lien avec Fassbinder :</strong> Collaborateur artistique majeur, mais pas figure de la vie intime au sens fort du premier cercle<br><br><strong>Œuvres de Fassbinder :</strong><br>Prenez garde à la sainte putain<br>Whity<br>Le Monde sur un fil<br>Martha<br>Tous les autres s’appellent Ali<br>Le Droit du plus fort<br>Maman Küsters s’en va au ciel<br>Je veux seulement que vous m’aimiez<br>Le Rôti de Satan<br>Roulette chinoise<br>Despair<br>L’Allemagne en automne<br>Le Mariage de Maria Braun<br>Lili Marleen<br><br><strong>Rôle dans l'univers Fassbinder :</strong> Formation du grand style visuel tardif;Entourage
"<img src=""Entourage_images/Ben_salem.jpg"" alt=""Portrait à identifier"" style=""max-width:100%;max-height:320px;object-fit:contain;"">";"<strong>El Hedi ben Salem</strong><br><br><strong>Fonction dominante :</strong> Acteur, partenaire<br><br><strong>Type de collaboration :</strong> Jeu, présence incarnée, dimension autobiographique
2ème des trois grands amours de RWF.<br><br><strong>Lien avec Fassbinder :</strong> Partenaire intime de Fassbinder au moment de Angst essen Seele auf<br><br><strong>Œuvres de Fassbinder :</strong><br>Le Marchand des quatre saisons<br>Le Monde sur un fil<br>Martha<br>Tous les autres s’appellent Ali<br>Le Droit du plus fort<br><br><strong>Rôle dans l'univers Fassbinder :</strong> Figure de l’altérité racisée et du désir";Entourage
